feature,importance
is_pivot_low,6944.710146903992
is_pivot_high,5454.5654854774475
lower_shadow_ratio,1910.3362851142883
upper_shadow_ratio,1802.9560086727142
roc_3,1469.0898432731628
upper_shadow,1413.3798005580902
body,1211.1932685375214
price_change,1185.911204814911
momentum_3,1167.4128408432007
lower_shadow,1032.083058834076
volume,926.8974609375
stoch_k,878.4101204872131
adx,777.7359292507172
volatilidad_5,692.5617301464081
adx_pos,613.2672414779663
atr,560.8356833457947
total_range,528.6842832565308
stoch_d,509.147118806839
body_ratio,470.7601480484009
sma_200,459.2265291213989
volatilidad_10,448.9551796913147
bb_position,442.5039005279541
volatilidad_cambio,440.87687969207764
macd_diff,432.41491055488586
fuerza_impulso,429.5832486152649
hour,425.4583978652954
adx_neg,423.2304000854492
bb_width,412.86682987213135
momentum_10,393.9960117340088
macd_signal,380.76487946510315
rsi,372.7914562225342
price_change_abs,356.76271867752075
macd,343.6017508506775
momentum_5,321.62280082702637
atr_normalizado,274.15769934654236
sma_50,266.2928705215454
volatilidad_20,258.536958694458
day_of_month,253.2393593788147
roc_5,249.94646000862122
bb_low,234.81667065620422
roc_10,183.29308986663818
dist_resistencia_cercana,182.12169075012207
body_abs,163.78151106834412
ema_21,162.93195056915283
bb_high,146.21810913085938
ema_9,142.6224603652954
sma_20,137.12381839752197
sesion_europea,111.01986026763916
retroceso_bajista,104.41362047195435
overlap_sesiones,92.79402112960815
day_of_week,72.54243040084839
impulso_bajista,66.64675855636597
dist_soporte_cercano_pct,45.97587966918945
dist_soporte_cercano,32.360899925231934
bb_mid,31.146990299224854
dist_resistencia_cercana_pct,31.070889949798584
is_engulfing,31.011179447174072
is_bearish,28.75290012359619
en_resistencia,27.12492036819458
is_doji,8.48130989074707
en_soporte,7.83158016204834
impulso_alcista,7.7188801765441895
is_shooting_star,7.146870136260986
retroceso_alcista,6.725100040435791
is_hammer,6.437069892883301
volatilidad_expansion,0.0
volatilidad_contraccion,0.0
is_bullish,0.0
obv,0.0
sesion_asiatica,0.0
sesion_americana,0.0
